Chain Name,Hash,Status,Action,Token,Value,From,From Info,To,To Info
BNB Chain,0x0x423a086fd086d8602f9cee311678521ffbd064740e7833ed61e17555f28df451,Success,0x3593564c,ERC-20: Binance-Peg BSC-USD,,0x1a0a18ac4becddbd6389559687d1a73d8927e416,PancakeSwap: Universal Router,0x03a82656095978695d6ec12a145e4e132db5042c,Contract
BNB Chain,0x0x423a086fd086d8602f9cee311678521ffbd064740e7833ed61e17555f28df451,Success,0x3593564c,ERC-20: Binance-Peg BSC-USD,,0x172fcd41e0913e95784454622d1c3724f546f849,Contract,0x1a0a18ac4becddbd6389559687d1a73d8927e416,PancakeSwap: Universal Router
BNB Chain,0x0x713375c6574ed11d389072425f0b277dca71a39f30a2c2258cf63fe29ab77959,Success,0x3593564c,ERC-20: Binance-Peg BSC-USD,,0x1a0a18ac4becddbd6389559687d1a73d8927e416,PancakeSwap: Universal Router,0x7dcc03aa0129b8b07f2c323391f8abb0afb76c52,Contract
BNB Chain,0x0xa84d31846d0d1b29e4504ad28730274ef1d00445e2d7e7a983f1f038e1082774,Success,0x3593564c,ERC-20: Binance-Peg BSC-USD,,0x1a0a18ac4becddbd6389559687d1a73d8927e416,PancakeSwap: Universal Router,0x172fcd41e0913e95784454622d1c3724f546f849,Contract
BNB Chain,0x0xa84d31846d0d1b29e4504ad28730274ef1d00445e2d7e7a983f1f038e1082774,Success,0x3593564c,ERC-20: Binance-Peg BSC-USD,,0x846d87e8f3b73c3f26183acb7ab52c9a98b832b7,Contract,0x1a0a18ac4becddbd6389559687d1a73d8927e416,PancakeSwap: Universal Router
BNB Chain,0x0x32b2876e3654315170e46ffc8b82eca3d481b64365554e4d051117274256ce89,Success,0x3593564c,ERC-20: Binance-Peg BSC-USD,,0x1a0a18ac4becddbd6389559687d1a73d8927e416,PancakeSwap: Universal Router,0x03a82656095978695d6ec12a145e4e132db5042c,Contract
BNB Chain,0x0x32b2876e3654315170e46ffc8b82eca3d481b64365554e4d051117274256ce89,Success,0x3593564c,ERC-20: Binance-Peg BSC-USD,,0x36696169c63e42cd08ce11f5deebbcebae652050,Contract,0x1a0a18ac4becddbd6389559687d1a73d8927e416,PancakeSwap: Universal Router
BNB Chain,0x0x693c404d1ab4b91d61cf572707ac8322f57156439f6277d789b76be34df616f8,Success,0x3593564c,ERC-20: Binance-Peg BSC-USD,,0x1a0a18ac4becddbd6389559687d1a73d8927e416,PancakeSwap: Universal Router,0x172fcd41e0913e95784454622d1c3724f546f849,Contract
BNB Chain,0x0x693c404d1ab4b91d61cf572707ac8322f57156439f6277d789b76be34df616f8,Success,0x3593564c,ERC-20: Binance-Peg BSC-USD,,0xd56f2ce8a39b407569836a595a77283fbb636af7,Contract,0x1a0a18ac4becddbd6389559687d1a73d8927e416,PancakeSwap: Universal Router
BNB Chain,0x0xa386e36837a286d1088cbccadd603e48965fda15227f6b6f5d3172015ddea4fd,Success,0x3593564c,ERC-20: Binance-Peg BSC-USD,,0x1a0a18ac4becddbd6389559687d1a73d8927e416,PancakeSwap: Universal Router,0x46cf1cf8c69595804ba91dfdd8d6b960c9b0a7c4,Contract
